"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","url_good","mode"
"982",982,"T-DF0047-0434"," CALLE J, COYOACAN","CASA DUPLEX",2500000,"MXN",180,180,7,3,19.31386,-99.1208,"ALIANZA POPULAR REVOLUCIONARIA","COYOACAN","CDMX","Casa triplex en venta de 180 m2C aprox, a remodelar, distribuida en 2 niveles, cuenta con 7 recamaras con clóset, sala, comedor, cocina integral, 3  baños completos, área de lavado y tendido, roof garden, 1 estacionamiento y gas natural..","https://tecnocasa.mx/detalle-inmueble.php?v=36743","Venta"
"983",983,"T-DF0048-0408"," 16 DE SEPTIEMBRE, COYOACAN","Terreno en Venta",2500000,"MXN",150,150,NA,NA,19.33575,-99.1281,"EX-EJIDO DE SAN FRANCISCO CULHUACAN","COYOACAN","CDMX","EXCELENTE OPORTUNIDAD DE INVERSIÓN TERRENO O BODEGA DIVIDIDO EN 2 NIVELES (ACTUALMENTE TALLER MECANICO Y ANTERIORMENTE SALON DE FIESTAS) DE 150M2 APROX. MUY CERCA DE AV. TLAHUAC Y CALZ. TAXQUEÑA","https://tecnocasa.mx/detalle-inmueble.php?v=39576","Venta"
"984",984,"T-DF0048-0409"," BENITO JUAREZ, COYOACAN","Terreno en Venta",2500000,"MXN",150,150,NA,NA,19.33566,-99.1281,"EX-EJIDO DE SAN FRANCISCO CULHUACAN","COYOACAN","CDMX","PLANTA CROMADORA O TERRENO UBICADA MUY CERCA DE AV. TLAHUAC DE 150M2 AROX. CON O SIN MOVILIARIO","https://tecnocasa.mx/detalle-inmueble.php?v=39578","Venta"
"985",985,"T-DF0150-0024"," AVENA, IZTACALCO","Terreno en Venta",2500000,"MXN",0,0,NA,NA,19.40196,-99.09925,"GRANJAS MEXICO","IZTACALCO","CDMX","Terreno de 122m2 sin construccion, H/3/20 dencidad B. Cerca de Av. Añil. Palacio de los deportes. Inf. 5617353066.","https://tecnocasa.mx/detalle-inmueble.php?v=41371","Venta"
"986",986,"T-DF0085-0409"," ITURBIDE, GUSTAVO A. MADERO","LOCAL COMERCIAL",2500000,"MXN",0,0,NA,1,19.48349,-99.12231,"TEPEYAC INSURGENTES","GUSTAVO A. MADERO","CDMX","LOCAL COMERCIAL, 1 BAÑO COMPLETO, USO DE SUELO MIXTO.","https://tecnocasa.mx/detalle-inmueble.php?v=41165","Venta"
"987",987,"T-DF0001-0442"," YACATAS, BENITO JUAREZ","Departamento en Venta",2500000,"MXN",90,90,3,1,19.39114,-99.15563,"NARVARTE PONIENTE","BENITO JUAREZ","CDMX","Amplio departamento en venta con 90 m2, 3 recámaras con closet, 1 baño completo, estancia, sala-comedor, cocina integral, área de lavado en la azotea, cuarto de servicio independiente, y un excelente balcón con bonita vista que logra dar más iluminación.","https://tecnocasa.mx/detalle-inmueble.php?v=41937","Venta"
"988",988,"T-DF0044-0357"," MIGUEL ANGEL DE QUEVEDO, COYOACAN","Departamento en Venta",2500000,"MXN",63,63,2,1,19.34283,-99.15172,"EL ROSEDAL","COYOACAN","CDMX","Departamento de 64 m2 de 2 recamaras, 1 baño completo, sala-comedor, un lugar de estacionamiento, cuarto de lavado y jaula de tendido, ubicado en Miguel Angel de Quevedo,  recién remodelado","https://tecnocasa.mx/detalle-inmueble.php?v=40159","Venta"
"989",989,"T-DF0092-0530"," AND 28 DIV DEL NTE, TLALPAN","CASA EN CONDOMINIO",2500000,"MXN",80,80,4,2,19.287496619207,-99.1266511820233,"VILLA COAPA","TLALPAN","CDMX","Casa unifamiliar en venta, 80 m² aproximadamente, 4 recamaras con closet, sala, comedor, cocina integral, 1 1/2 baños, área de lavado y estacionamiento en área común. ","https://tecnocasa.mx/detalle-inmueble.php?v=41714","Venta"
"990",990,"T-DF0048-0424"," PASEO DE LOS GRANADOS, COYOACAN","Departamento en Venta",2490000,"MXN",60,60,2,1,19.34552,-99.12304,"PASEOS DE TAXQUEÑA","COYOACAN","CDMX","Excelente departamento exterior frente a gran parque, consta de 2 recamaras con closet, 1 baño completo, sala comedor de excelente tamaño, cocina integral, jaula de tendido y un lugar de estacionamiento.","https://tecnocasa.mx/detalle-inmueble.php?v=41799","Venta"
"991",991,"T-DF0009-0428"," CASAS GRANDES, BENITO JUAREZ","Departamento en Venta",2490000,"MXN",68,68,2,1,19.39793,-99.14655,"NARVARTE ORIENTE","BENITO JUAREZ","CDMX","Departamento en venta. Primer nivel, 68m2, sala comedor con balcón, cocina integral, dos recámaras con closet, baño completo, cuarto de servicio, exterior.

Excelente iluminación natural, ubicación privilegiada a una cuadra del trolebús y dos cuadras del metrobús","https://tecnocasa.mx/detalle-inmueble.php?v=41884","Venta"
