"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","url_good","mode"
"1",1,"T-DF0128-0197"," ARTEMIO DEL VALLE ARIZPE, NAUCALPAN DE JUAREZ","Casa en Venta",15600000,"MXN",254,254,4,4,19.50564,-99.24892,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en fraccionamiento Club Cuicacalli, estricta vigilancia 24 hrs, cuenta con 4 recamaras, 4 baños y medio, 5 lugares de estacionamiento con portón eléctrico, jardín amplio, cocina integral, sala comedor y espacio de cantina, en muy buen estado, además de tener el fresco y zona azul a unos metros.","https://tecnocasa.mx/detalle-inmueble.php?v=36722","Venta"
"2",2,"T-DF0049-0396"," LUIS CABRERA, Naucalpan de Juárez","Casa en Venta",15500000,"MXN",457,457,3,3,19.50738,-99.24061,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en venta con excelente distribución, cuenta con 3 lugares de estacionamiento, portón eléctrico, sala comedor y cocina con muy buen tamaño, acabados de lujo en toda la casa, jardín trasero amplio y un espacio para gimnasio, en planta alta cuenta con 3 recamaras todas cuentan con baño completo y vestidor, también un cuarto de lavado y cuarto de servicio totalmente funcionales.","https://tecnocasa.mx/detalle-inmueble.php?v=39220","Venta"
"3",3,"T-DF0018-0138"," GUTIERREZ  ESTRADA, NAUCALPAN DE JUAREZ","Casa en Venta",12500000,"MXN",487,487,4,6,19.51778,-99.25856,"LOMAS VERDES 4A SECCION","NAUCALPAN DE JUAREZ","EDOMEX","6TA SECCIÓN DE LOMAS VERDES

EXCELENTE DISTRIBUCION E ILUMINACIÓN

4 RECAMARAS CON VESTIDOR Y BAÑO COMPLETO, SALA/COMEDOR CON SALIDA A LA TERRAZA

COCINA EQUIPADA CON DESAYUNADOR, ESTUDIO, SALA DE TV, SALON DE JUEGOS, JARDIN GRANDE Y CON VISTAS MARAVILLOSAS,SEGURIDAD 24 HRS SALIDA A MAS DE 3 VIALIDADES","https://tecnocasa.mx/detalle-inmueble.php?v=38292","Venta"
"4",4,"T-DF0128-0184"," ARBOLITOS, NAUCALPAN DE JUAREZ","EDIFICIO",12400000,"MXN",749,749,NA,NA,19.5174535884741,-99.2320380440582,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Edificio en zona comercial 574 m2 TERRENO y 749 M2 de Construcción. construido en 3 niveles de oficinas 305M2 2 baños, archivo/bodega. Nave industrial 444M2 anden de carga, tapanco, 4 baños, techo altura 4.55, cisterna de 9.3 m3 y trifásica. TODO DE CONCRETO. ","https://tecnocasa.mx/detalle-inmueble.php?v=35144","Venta"
"5",5,"T-DF0049-0404"," JOSE ROA BARCENAS, NAUCALPAN DE JUAREZ","Casa en Venta",12000000,"MXN",400,400,4,3,19.50375,-99.24191,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa de 4 recamaras con closet, sala, comedor, cocina equipada, 3 y 1/2 baños, estudio, sala de T.V. cantina, cuarto de servicio, jardín, 3 estacionamientos","https://tecnocasa.mx/detalle-inmueble.php?v=41544","Venta"
"6",6,"T-DF0128-0231"," ACUEDUCTO ZEMPOALA, NAUCALPAN DE JUAREZ","Casa en Venta",11300000,"MXN",250,250,3,4,19.4743,-99.26803,"CUMBRES DE SAN MATEO","NAUCALPAN DE JUAREZ","EDOMEX",NA,"https://tecnocasa.mx/detalle-inmueble.php?v=41952","Venta"
"7",7,"T-DF0128-0227"," BLVRD VALLE DORADO, TLALNEPANTLA DE BAZ","EDIFICIO",11000000,"MXN",800,800,NA,NA,19.5534584289747,-99.2116457292205,"VIVEROS DE LA LOMA","TLALNEPANTLA DE BAZ","EDOMEX","Edificio de 800m2 sobre avenida principal, con esquina a Jinetes remodelado, a 1 minuto de Periferico con 4 departamentos de 2 recamaras cada uno, espacio en ultimo piso para oficinas con terraza, bodega, y local a pie de calle independiente a acceso principal.","https://tecnocasa.mx/detalle-inmueble.php?v=41397","Venta"
"8",8,"T-DF0017-0138"," EZEQUIEL A. CHAVEZ, NAUCALPAN DE JUAREZ","Casa en Venta",10400000,"MXN",330,330,3,2,19.519,-99.23744,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en Venta en Cuidad Satélite, Circuito Educadores. La casa cuenta con sala-comedor, cocina integral con desayunador, una segunda sala con chimenea, 3 recamaras, 2 baños y medio, sala de tv,  cuarto de lavado, cuarto de servicio con baño completo, jardín trasero, 2 lugares de estacionamientos y cisterna. 

Cercano a avenidas principales, escuelas y centros comerciales como Mundo E y Plaza Satélite.","https://tecnocasa.mx/detalle-inmueble.php?v=40999","Venta"
"9",9,"T-DF0128-0222"," EMILIO RABASA, NAUCALPAN DE JUAREZ","Casa en Venta",10399000,"MXN",328,328,3,3,19.51057,-99.24528,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en Ciudad Satélite distribuida en tres niveles, con 400m2 de terreno y 328m2 de construcción, jardín frontal de 100m2, patio trasero, 3 recamaras con baño propio y la principal y secundaria con jacuzzi, chimenea, terraza para roofgarden y garaje para 2 coches ","https://tecnocasa.mx/detalle-inmueble.php?v=40193","Venta"
"10",10,"T-DF0055-0063"," JOAQUIN GARCIA ICAZBALCETA, NAUCALPAN DE JUAREZ","Casa en Venta",9900000,"MXN",510,510,4,2,19.50964,-99.22612,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en calle privada en Ciudad Satélite, lista para habitar. Cuenta con estancia, sala, comedor de buen tamaño con iluminación natural, cocina amplia con espacio para ante comedor, 4 habitaciones, salón de usos múltiples, baño completo con sauna y 3 lugares de estacionamiento.","https://tecnocasa.mx/detalle-inmueble.php?v=41890","Venta"
"11",11,"T-DF0055-0057"," CIRCUITO NAVEGANTES, NAUCALPAN DE JUAREZ","Casa en Venta",9700000,"MXN",172,172,4,3,19.50235,-99.23031,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa de un nivel, cuenta con 4 recamaras amplias con closet, 3 baños completos, sala, comedor con vista a una jardinera interna, cocina integral con barra desayunadora, cantina, gimnasio, cuarto de servicio con baño, área de lavado, 4 estacionamientos con portón eléctrico. ","https://tecnocasa.mx/detalle-inmueble.php?v=40458","Venta"
"12",12,"T-DF0128-0221"," CTO. MISIONEROS, NAUCALPAN DE JUAREZ","Casa en Venta",9350000,"MXN",408,408,5,5,19.51275,-99.24182,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en Venta en Cd Satelite, Cto Misioneros. 350 M2 T y 408 M2 C. 2 recamaras con su propio baño y 2 recamaras comparten baño, Sala con techo a doble altura, comedor y antecomedor con acceso a jardín trasero, cocina integral, cuarto de servicio completo y cuarto de lavado, 3 lugares para coches ","https://tecnocasa.mx/detalle-inmueble.php?v=40109","Venta"
"13",13,"T-DF0141-0056"," CLAVELES, NAUCALPAN DE JUAREZ","Casa en Venta",8990000,"MXN",411,411,2,2,19.4961,-99.23406,"LA FLORIDA","NAUCALPAN DE JUAREZ","EDOMEX","CASA REMODELADA CON 250 M2T Y 420 M2C, 6 LUGARES DE ESTACIONAMIENTO, 2 RECAMARAS, 2 BAÑOS COMPLETOS, 3 MEDIOS BAÑOS, SALA, COMEDOR, COCINA, ELEVADOR, SALON DE FIESTAS, AREA DE BAR, ESTUDIO, CUARTO DE LAVADO, CUARTO DE SERVICIO, SISTEMA DE SEGURIDAD, SISTEMA DE SONIDO INTEGRADO.","https://tecnocasa.mx/detalle-inmueble.php?v=40934","Venta"
"14",14,"T-DF0018-0123"," 1A PRIV CAMINO AL CERRO, ATIZAPAN DE ZARAGOZA","Terreno en Venta",8700000,"MXN",0,0,NA,NA,19.51889,-99.24982,"LOMAS DE BELLAVISTA","ATIZAPAN DE ZARAGOZA","EDOMEX","Terreno de gran tamaño en venta en fraccionamiento nuevo vigilado las 24 HRS con acceso contralado y contará con amenidades dentro del fraccionamiento. Excelente vista, espacio y ubicación, a tan solo 10 minutos del periférico. ","https://tecnocasa.mx/detalle-inmueble.php?v=37367","Venta"
"15",15,"T-DF0018-0122"," 1A PRIV CAMINO AL CERRO, ATIZAPAN DE ZARAGOZA","Terreno en Venta",8680000,"MXN",0,0,NA,NA,19.51889,-99.24982,"LOMAS DE BELLAVISTA","ATIZAPAN DE ZARAGOZA","EDOMEX","Excelente oportunidad de inversión y desarrollo. 



Terreno de 1,000 m2 dentro de fraccionamiento, listo para construir.



Vive en uno de los mejores desarrollos de alta plusvalía dentro de Atizapán de Zaragoza. 



Cuenta con vistas increíbles, un  lugar muy tranquilo y libre de contaminación. ","https://tecnocasa.mx/detalle-inmueble.php?v=37365","Venta"
"16",16,"T-DF0141-0063"," FRANCISCO ALONSO PINZON, NAUCALPAN DE JUAREZ","Casa en Venta",8230000,"MXN",396,396,7,6,19.49652,-99.22454,"COLON ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA 396 M2C, 265M2T, CUENTA CON 7 RECÁMARAS, ESTUDIO, COCINA INTEGRAL, SALA, COMEDOR, 6 BAÑOS COMPLETOS, 1/2 BAÑO, 4 LUGARES DE ESTACIONAMIENTO, PATIO TRASERO, CUARTO DE JUEGOS Y CUARTO DE LAVADO.","https://tecnocasa.mx/detalle-inmueble.php?v=42119","Venta"
"17",17,"T-DF0018-0121"," CANTILES, ATIZAPAN DE ZARAGOZA","Casa en Venta",7499000,"MXN",290,290,3,6,19.51906,-99.2498,"LOMAS DE BELLAVISTA","ATIZAPAN DE ZARAGOZA","EDOMEX","Venta de casa totalmente nueva en fraccionamiento Los Cantiles.

La casa cuenta con acabados premium y un diseño moderno.

3 habitaciones .

4 lugares de estacionamiento.

Sala comedor y cocina integral. 

Cuarto de Tv/ Estancia

Roof Garden con Jacuzzi.

Jardín.

Cuarto de servicio. 

Vigilancia 24 Hrs.

","https://tecnocasa.mx/detalle-inmueble.php?v=37333","Venta"
"18",18,"T-DF0055-0046"," JUAN M. GONZALEZ, NAUCALPAN DE JUAREZ","Casa en Venta",6950000,"MXN",248,248,3,2,19.51165,-99.22801,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en venta cerca de Plaza Satélite, cuenta con sala con chimenea, comedor con terraza, salón de juegos con una cantina, sala de T.V., 3 recamaras con closet (la principal con terraza techada y baño completo), jardín, 2 lugares de estacionamiento, cuarto de servicio y área de lavado.","https://tecnocasa.mx/detalle-inmueble.php?v=39184","Venta"
"19",19,"T-DF0055-0056"," CIRCUITO PINTORES, NAUCALPAN DE JUAREZ","Casa en Venta",6900000,"MXN",160,160,3,2,19.51193,-99.22657,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa de un piso en venta en Ciudad Satélite, lista para habitar. 3 cajones de estacionamiento, tres habitaciones la principal con baño y vestidor. Cocina integral, estancia sala comedor con ventanal de pie a techo, jardín exterior con pergola.","https://tecnocasa.mx/detalle-inmueble.php?v=40418","Venta"
"20",20,"T-DF0141-0048"," HACIENDA DE LA GUARACHA, NAUCALPAN DE JUAREZ","Casa en Venta",6750000,"MXN",413,413,5,3,19.48931,-99.22561,"BOSQUE DE ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA EN ESQUINA  MUY ILUMINADA CON 264 M2 DE TERRENO Y 413 M2 DE CONSTRUCCION, 5 RECAMARAS, 3 BAÑOS COMPLETOS, SALA, ANTESALA, COMEDOR, COCINA CON DESAYUNADOR, ESTUDIO, 5 LUGARES DE ESTACIONAMIENTO. ","https://tecnocasa.mx/detalle-inmueble.php?v=39150","Venta"
"21",21,"T-DF0055-0062"," GERMAN GEDOVIUS, NAUCALPAN DE JUAREZ","Casa en Venta",6650000,"MXN",224,224,3,3,19.5113,-99.22452,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en venta en Ciudad Satélite lista para habitar, en calle cerrada y cuenta con cámaras de seguridad. Estancia, sala - comedor, tres recamaras con closet, jardín y asador, dos lugares de estacionamiento. ","https://tecnocasa.mx/detalle-inmueble.php?v=41081","Venta"
"22",22,"T-DF0049-0398"," COLINA DE LA UMBRIA, NAUCALPAN DE JUAREZ","Casa en Venta",6500000,"MXN",168,168,3,2,19.49305,-99.24872,"BOULEVARES","NAUCALPAN DE JUAREZ","EDOMEX","Casa totalmente remodelada.

Planta baja: 3 lugares de estacionamiento, estudio, sala, comedor y cocina de buen tamaño, cuarto de servicio y jardin trasero.

Planta alta: 3 recamaras de buen tamaño, la principal con vestidor y baño completo, y un segundo baño completo.

Rooftop con medio baño.","https://tecnocasa.mx/detalle-inmueble.php?v=39725","Venta"
"23",23,"T-DF0017-0139"," CONVENTO DE STO. DOMINGO, TLALNEPANTLA DE BAZ","Casa en Venta",6490000,"MXN",380,380,3,4,19.528587838986,-99.2286180246219,"JARDINES DE SANTA MONICA","TLALNEPANTLA DE BAZ","EDOMEX","Casa compuesta por sala - comedor, 3 recamaras con closet  con gran amplitud (principal con baño y vestidor, la secundaria con baño independiente) cuenta con 4 baños y medio, sala de TV, cuarto de juegos con chimenea, una recamara y un baño completo, cuarto de lavado, cuarto de servicio con baño completo, oficina, bodega, patio, 4 estacionamientos.

A media cuadra del centro comercial mundo E-

A 3 minutos de Periférico y a 5 minutos de la Av. Adolfo Lopez Mateos","https://tecnocasa.mx/detalle-inmueble.php?v=41237","Venta"
"24",24,"T-DF0141-0047"," RIBERA DE ECHEGARAY, NAUCALPAN DE JUAREZ","Casa en Venta",6350000,"MXN",350,350,5,5,19.48487,-99.23362,"BOSQUE DE ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA  EN FRACCIONAMIENTO CERRADO CON VIGILANCIA 24 HORAS, CON 237 M2 DE TERRENO Y 350 M2 DE CONSTRUCCIÓN, 5 RECAMARAS, 5 BAÑOS, SALA, COMEDOR, COCINA, PATIO TRASERO, 3 CAJONES DE ESTACIONAMIENTO, ESTUDIO, AREA DE CANTINA Y CISTERNA DE 15 MIL LTS.","https://tecnocasa.mx/detalle-inmueble.php?v=38343","Venta"
"25",25,"T-DF0055-0039"," FRANCISCO URDINOLA, NAUCALPAN DE JUAREZ","Casa en Venta",6250000,"MXN",280,280,3,3,19.50764,-99.22937,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en venta en Ciudad Satélite, 3 recamaras con closet, la principal con vestidor y terraza, sala, comedor,  cocina integral con desayunador, estudio, cantina con estancia, 3 baños completos, 2 medios baños, cuarto de servicio con baño completo, área de lavado, jardín, 2 estacionamientos. ","https://tecnocasa.mx/detalle-inmueble.php?v=38531","Venta"
"26",26,"T-DF0018-0118"," ESTRATUS, ATIZAPAN DE ZARAGOZA","Casa en Venta",6250000,"MXN",196,196,3,3,19.51912,-99.2497,"LOMAS DE BELLAVISTA","ATIZAPAN DE ZARAGOZA","EDOMEX","Casa totalmente nueva en venta en zona residencial con alta plusvalía en Zona Esmeralda y vista hacia la Presa Madin. Cuenta con 3 recámaras de buen tamaño, cada habitación cuenta con su propio baño y clóset, sala, cocina con barra desayunadora de granito, comedor, cuarto de TV, cisterna, 2 lugares de estacionamiento y jardín. Fraccionamiento vigilado las 24 hrs del día con cámaras de seguridad y acceso controlado. De igual manera cuenta con áreas para niños.","https://tecnocasa.mx/detalle-inmueble.php?v=36551","Venta"
"27",27,"T-DF0128-0204"," AV. CRISTOBAL COLON, NAUCALPAN DE JUAREZ","Casa en Venta",6224999,"MXN",288,288,4,2,19.5086083574357,-99.2547363778451,"LOMAS VERDES (CONJUNTO LOMAS VERDES)","NAUCALPAN DE JUAREZ","EDOMEX","205m2 de terreno y 288m2 de construcción, 4 recamaras, 2 y 1/2 baños, 3 lugares de estacionamiento. Patio trasero techado y muro llorón. Av. Lomas Verdes a 2 Minutos. ","https://tecnocasa.mx/detalle-inmueble.php?v=36999","Venta"
"28",28,"T-DF0141-0054"," HACIENDA DE PRESILLAS, NAUCALPAN DE JUAREZ","Casa en Venta",6190000,"MXN",200,200,3,2,19.49566,-99.22999,"HACIENDA DE ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA REMODELADA DE 200 M2 TERRENO, 175 M2 CONSTRUCCIÓN. 3 HABITACIONES 2 BAÑOS, SALA COMEDOR, COCINA, ESTUDIO, PATIO TRASERO, CUARTO DE LAVADO, CUARTO DE SERVICIO C/BAÑO Y 3 ESTACIONAMIENTOS","https://tecnocasa.mx/detalle-inmueble.php?v=40572","Venta"
"29",29,"T-DF0141-0053"," HACIENDA PEÑUELAS, NAUCALPAN DE JUAREZ","Casa en Venta",6090000,"MXN",280,280,3,2,19.49316,-99.23097,"HACIENDA DE ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA TOTALMENTE REMODELADA A METROS DEL PARQUE HUNDIDO, 280 M2 DE CONSTRUCCIÓN, 180 M2 DE TERRENO, 3 HABITACIONES,2 Y 1/2 BAÑOS ESTUDIO, CUARTO DE JUEGOS, CUARTO DE LAVADO, SALA, COMEDOR, COCINA, JARDÍN TRASERO, 3 ESTACIONAMIENTOS. LA CASA SE ENCUENTRA EN ZONA MUY CÉNTRICA.. ","https://tecnocasa.mx/detalle-inmueble.php?v=40361","Venta"
"30",30,"T-DF0141-0059"," HACIENDA DE SANTA MARIA DE REGLA, NAUCALPAN DE JUAREZ","Casa en Venta",5990000,"MXN",280,280,4,3,19.48786,-99.23239,"BOSQUE DE ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA EN BOSQUE DE ECHEGARAY CON 232M2 DE TERRENO, 280M2 DE CONSTRUCCIÓN, 4 RECAMARAS, 3 Y MEDIO BAÑOS, SALA, COMEDOR, COCINA, PATIO TRASERO, CONSULTORIO INDEPENDIENTE, 2 ESTACIONAMIENTOS UNO DE ELLOS TECHADO, A UNOS PASOS DE IMPORTANTES ÁREAS COMERCIALES Y PRINCIPALES VÍAS DE ACCESO.","https://tecnocasa.mx/detalle-inmueble.php?v=41547","Venta"
"31",31,"T-DF0049-0392"," COLINA DE HERNAN, NAUCALPAN DE JUAREZ","Casa en Venta",5950000,"MXN",229,229,5,4,19.49647,-99.24224,"BOULEVARES","NAUCALPAN DE JUAREZ","EDOMEX","¡Casa en venta totalmente remodelada!

Planta baja: 2 lugares de estacionamiento, sala, comedor y cocina de muy buen tamaño, cocina abierta, estudio, medio baño de visitas y cuenta con una recamara con vestidor y baño completo.

Planta alta: cuenta con 4 recamaras con closet y 3 baños completos.","https://tecnocasa.mx/detalle-inmueble.php?v=38456","Venta"
"32",32,"T-DF0017-0129"," GARDENIA, TLALNEPANTLA DE BAZ","CASA EN CONDOMINIO",5900000,"MXN",392,392,4,3,19.52774,-99.23378,"EX-HACIENDA DE SANTA MONICA","TLALNEPANTLA DE BAZ","EDOMEX","Casa en calle cerrada con estricta vigilancia. Compuesta por sala-comedor, cocina integral con ante-comedor, 4 recamaras con closet, sala de televisión, estudio, terraza, 3 baños completos, 2 medios baños, 2 lugares de estacionamiento techados.

A 2 cuadras del centro comercial Mundo E.

A 5 min de Periférico

A 5 minutos de Av.  Adolfo López Mateos.","https://tecnocasa.mx/detalle-inmueble.php?v=38427","Venta"
"33",33,"T-DF0128-0228"," CRUZ DE LA ALBORADA, NAUCALPAN DE JUAREZ","Departamento en Venta",5900000,"MXN",340,340,3,3,19.5178,-99.25057,"SANTA CRUZ DEL MONTE","NAUCALPAN DE JUAREZ","EDOMEX","Departamento de Lujo, cuenta con 3 recamaras, 3 baños completos, cuarto de servicio, área de lavado, cuenta con elevador, roof garden privado, 2 lugares de estacionamiento techado, lugares de visita y portón automatizado.","https://tecnocasa.mx/detalle-inmueble.php?v=41427","Venta"
"34",34,"T-DF0018-0125"," 1A PRIV CAMINO AL CERRO, ATIZAPAN DE ZARAGOZA","Terreno en Venta",5850000,"MXN",0,0,NA,NA,19.51889,-99.24982,"LOMAS DE BELLAVISTA","ATIZAPAN DE ZARAGOZA","EDOMEX","Excelente terreno para invertir en fraccionamiento totalmente nuevo en zona de alta plusvalía. Cuenta con 675 mts2 de superficie totalmente planos y listos para la su construcción con una muy buena ubicación y salidas a distintas vías principales. Cableado subterráneo, servicios y áreas verdes.","https://tecnocasa.mx/detalle-inmueble.php?v=37386","Venta"
"35",35,"T-DF0017-0127"," CONVENTO S. DIEGO, TLALNEPANTLA DE BAZ","Casa en Venta",5500000,"MXN",200,200,3,2,19.5302444401383,-99.2269069961657,"JARDINES DE SANTA MONICA","TLALNEPANTLA DE BAZ","EDOMEX","Casa con excelente ubicación. Compuesta por sala y comedor con buena distribución, buena iluminación y ventilación. Primera planta con medio baño, cocina integral en excelente estado, jardín trasero y un cuarto de servicio. Segundo nivel con 3 recámaras con closet, recámara principal con baño independiente, un baño completo compartido y una biblioteca o estudio. Estacionamiento para dos carros.

Ubicado a 2 minutos del cuadro de Santa Mónica, 5 minutos de Mundo E y periférico, 5 minutos de Av. Adolfo López Mateos, escuelas y comercios cerca.","https://tecnocasa.mx/detalle-inmueble.php?v=38409","Venta"
"36",36,"T-DF0141-0036"," CALLE F, NAUCALPAN DE JUAREZ","Casa en Venta",5500000,"MXN",250,250,2,2,19.4861571073121,-99.2253311623301,"BOSQUE DE ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA REMODELADA CON LAS HABITACIONES EN PLANTA BAJA Y SALÓN DE JUEGOS CON ROOF GARDEN EN PLANTA ALTA, 250 M2C, 250M2T, RECAMARA PRINCIPAL CON BAÑO COMPLETO Y VESTIDOR, SALA,Y COMEDOR DE CORRIDO, COCINA EQUIPADA, 3 LUGARES DE ESTACIONAMIENTO.","https://tecnocasa.mx/detalle-inmueble.php?v=35614","Venta"
"37",37,"T-DF0128-0180"," ANDROMEDA, NAUCALPAN DE JUAREZ","Casa en Venta",5500000,"MXN",350,350,3,4,19.5051400193148,-99.2481772646447,"JARDINES DE SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa semiremodelada con 1 recámara principal con estudio, baño completo con jacuzzi y dos vestidores. Dos habitaciones con 1 baño completo compartido. En la parte de abajo cuenta 2 lugares de estacionamiento, con amplia cocina, sala y comedor; además de un patio y otro estudio. Finalmente cuenta con un amplio jardín que es zona federal","https://tecnocasa.mx/detalle-inmueble.php?v=34668","Venta"
"38",38,"T-DF0049-0406"," COLINA DE MOCUZARI, NAUCALPAN DE JUAREZ","Casa en Venta",5500000,"MXN",300,300,4,4,19.49413,-99.24474,"BOULEVARES","NAUCALPAN DE JUAREZ","EDOMEX","Casa en venta en Boulevares, frente al parque Naucalli, cuenta con 4 recamaras con closet, 4 1/2 baños, sala y comedor corridos, cocina integral con desayunador, salón de fiestas, área de lavado, cuarto de servicio, patio trasero y frontal, tres espacios de estacionamiento. ","https://tecnocasa.mx/detalle-inmueble.php?v=41885","Venta"
"39",39,"T-DF0055-0006"," CIRCUITO CIENTIFICOS, NAUCALPAN DE JUAREZ","Casa en Venta",5500000,"MXN",300,300,5,4,19.5149433,-99.2297719,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa con buenos espacios, sala, cocina y comedor, 3 recámaras amplias, 2 baños; dos departamentos con 2 recámaras y baño completo; uno de ellos con terraza. La casa cuenta con materiales como porcelanato italiano, aluminio blanco y pisos con madera de encino americano.

Un lugar de estacionamiento.","https://tecnocasa.mx/detalle-inmueble.php?v=34473","Venta"
"40",40,"T-DF0049-0402"," FRAMBOYANES, NAUCALPAN DE JUAREZ","Casa en Venta",5500000,"MXN",271,271,5,3,19.49107,-99.25781,"JARDINES DE SAN MATEO","NAUCALPAN DE JUAREZ","EDOMEX","Casa para remodelar, muy cerca de Av. López Mateos , cuenta con 5 recamaras de buen tamaño con closet, sala, comedor, cocina integral, estudio, área de lavado, cuarto de servicio con baño completo, 3 espacios de estacionamiento, jardín. ","https://tecnocasa.mx/detalle-inmueble.php?v=41399","Venta"
"41",41,"T-DF0128-0192"," LLUVIAS, NAUCALPAN DE JUAREZ","Casa en Venta",5499000,"MXN",250,250,4,3,19.49796,-99.26727,"CUMBRES DE SAN MATEO","NAUCALPAN DE JUAREZ","EDOMEX","Amplia casa de 3 niveles, que consta de 250 m2 de construcción y 212m2 de terreno, con 4 recamaras, estudio, jardin trasero de 70m2 y garaje para 2 coches.","https://tecnocasa.mx/detalle-inmueble.php?v=36220","Venta"
"42",42,"T-DF0049-0399"," 1A. CDA. DE SAN MATEO, NAUCALPAN DE JUAREZ","Casa en Venta",5450000,"MXN",230,230,4,2,19.48914,-99.24757,"JARDINES DE SAN MATEO","NAUCALPAN DE JUAREZ","EDOMEX","Excelente casa en Jardines de San Mateo en muy buena ubicación.

Cuenta con dos lugares de estacionamiento, sala y comedor de buen tamaño, cocina integral de buen tamaño, cuarto de estudio, patio con cantina y hermoso jardín.

Cuenta con cuatro recamaras de buen tamaño y dos baños completos.","https://tecnocasa.mx/detalle-inmueble.php?v=39932","Venta"
"43",43,"T-DF0128-0232"," S. JOAQUIN, NAUCALPAN DE JUAREZ","Casa en Venta",5400000,"MXN",260,260,3,2,19.50626,-99.2534,"RESIDENCIAL SANTA CRUZ","NAUCALPAN DE JUAREZ","EDOMEX","Propiedad en fraccionamiento, vigilancia 24/7, rápido acceso a vías principales, 3 recamaras, estudio, 2 y 1/2 baños, cuarto de lavado y cuarto de servicio.","https://tecnocasa.mx/detalle-inmueble.php?v=42167","Venta"
"44",44,"T-DF0049-0397"," COLINA DE MOCUZARI, NAUCALPAN DE JUAREZ","Casa en Venta",5300000,"MXN",192,192,4,2,19.49421,-99.2448,"BOULEVARES","NAUCALPAN DE JUAREZ","EDOMEX","¡Casa en venta en excelente ubicación! Planta baja: dos lugares de estacionamiento, sala y comedor de buen tamaño, cocina integral, medio baño de visitas, cuarto de estudio y jardín trasero. 

Planta alta: cuenta con cuatro recamaras de buen tamaño, excelente luz natural, dos baños completos, ","https://tecnocasa.mx/detalle-inmueble.php?v=39524","Venta"
"45",45,"T-DF0141-0060"," HACIENDA DE PRESILLAS, NAUCALPAN DE JUAREZ","Casa en Venta",5290000,"MXN",177,177,2,1,19.49421,-99.23035,"HACIENDA DE ECHEGARAY","NAUCALPAN DE JUAREZ","EDOMEX","CASA DE 177 M2 DE CONSTRUCCIÓN Y 160 M2 DE TERRENO REMODELADA, RECIBIDOR, SALA, COMEDOR, COCINA, SALA DE TV, 1/2 BAÑO DE VISITAS 2 HABITACIONES LA PRINCIPAL CON 1 BAÑO COMPLETO Y VESTIDOR, JARDIN TRASERO, BODEGA, CUARTO DE LAVADO, CUARTO DE SERVICIO C/BAÑO, ÁREA DE TENDIDO Y 2 ESTACIONAMIENTOS.","https://tecnocasa.mx/detalle-inmueble.php?v=41589","Venta"
"46",46,"T-DF0018-0133"," CAMINO AL CERRO, ATIZAPAN DE ZARAGOZA","Terreno en Venta",5200000,"MXN",0,0,NA,NA,19.51947,-99.24978,"LOMAS DE BELLAVISTA","ATIZAPAN DE ZARAGOZA","EDOMEX","Excelente terreno en zona residencial, de gran metraje (600 mts2) a un precio inmejorable, ubicado a unos minutos de avenidas principales, plazas comerciales, hospitales y escuelas. Cuenta con seguridad las 24 HRS del día en fraccionamiento nuevo. ","https://tecnocasa.mx/detalle-inmueble.php?v=38250","Venta"
