"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","detailedListings.i.","mode"
"11",11,65918208,"undefined,  San José de La Escalera, Gustavo A. Madero","Edificio",16500000,"MN",170,765,NA,NA,19.5268101,-99.1656811,"San José de La Escalera","Gustavo A. Madero","Ciudad de México","Edificio en esquina con mucho potencial para desarrollar departamentosActualmente diseñado con cuartos de estancia para estudiantes con paredes de tablaroca, 2 departamentos y  un pent-house.Adicionalmente un área de roof-gardeenÁrea para estudiantes:Cuenta con 4 bañosDoce habitaciones estudiantilesCocina Bodega1 estacionamientoSala de entretenimientoDepartamento 1 Sala comedor cocina2 RecamarasBañoEstudioDepartamento 2 1 RecamaraSala comedorCocinaPent-house 2 Recamaras1 Baño Sala ComedorCocinaRoof gardeen Espacio de almacenajeTarja","https://www.inmuebles24.com/propiedades/venta-edificio-ideal-desarrollar-departamentos-en-san-65918208.html","Venta"
"12",12,64567438,"Av Instituto Politécnico Nacional 2100,  Lindavista Norte, Gustavo A. Madero","Departamento",20000000,"MN",200,740,16,8,19.4996931,-99.1315419,"Lindavista Norte","Gustavo A. Madero","Ciudad de México","VENTA DE EDIFICIO COMPLETO COMO INVERSIÓN  PARA REMODELAR O TIRAR, TIENE USO DE SUELO RESIDENCIAL Y COMERCIAL.SE ENCUENTRA EN UNA DE LAS AVENIDAS CON MAS TRÁFICO DE ESTUDIANTES Y MAESTROS DEL PAÍS  YA QUE ESTA UBICADO JUSTAMENTE FRENTE AL INSTITUTO POLITÉCNICO NACIONAL LO QUE LO CONVIERTE EN UNA EXCELENTE Y ÚNICA OPORTUNIDAD DE NEGOCIO.","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-lindavista-16-recamaras-64567438.html","Venta"
"13",13,63545061,"Avenida Río de los Remedios,  Ticoman, Gustavo A. Madero","Departamento",1445000,"MN",53,53,2,1,19.5175528,-99.1388158,"Ticoman","Gustavo A. Madero","Ciudad de México","Este #DepaFlat es ideal para iniciar esa vida independiente que quieres, cercano a las principales avenidas de la parte norte de la Ciudad y con un toque único.El depa se encuentra en el 5 nivel y cuenta con 53 m2 con una excelente distribución, ya que al entrar podrás disfrutar de una luminosa estancia, cocina independiente con acceso al área de lavado, 2 recámaras con closet y 1 baño completo con los mejores acabados. Su excelente ubicación te mantendrá conectado a todos los servicios ya que se encuentra próximo a Calzada Ticomán y Miguel Bernard.. EasyBroker ID: EB-JO6375","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-col.-candelaria-ticoman-63545061.html","Venta"
"14",14,55907523,"AVENIDA ACUEDUCTO 1391,  Ticoman, Gustavo A. Madero","Terreno / Lote",30000000,"MN",3165,782,NA,NA,19.5194165,-99.1322165,"Ticoman","Gustavo A. Madero","Ciudad de México","TERRENO AV. ACUEDUCTO, TICOMAN CDMX SUP. 3,165 MTS TERRENO SOBRE AVENIDA ACUEDUCTO COLONIA TICOMAN ALCALDÍA GUSTAVO A. MADERO, CUENTA CON DOS ENTRADAS, SE VENDE A PRECIO DE TERRENO, CUENTA CON UNA CASA GRANDE CONSTRUIDA Y BODEGA PEQUEÑA. USO DE SUELO HM/6/,INDUSTRIAL Y COMERCIO ESTA PROPIEDAD CUENTA CON GRANDES VENTAJAS DE INVERSIÓN YA QUE CUENTA CON EL USO DE SUELO VIVIENDA PLURIFAMILIAR PERMITIENDO 35 VIVIENDAS, ASÍ COMO INDUSTRIAL Y DE COMERCIO. USO DE SUELO HM/6/30Z. CERCA: A UN LADO DE PRIMARIA VICTORIO ROJAS Y PANTEÓN SANTA MARÍA TICOMAN IPN Unidad Profesional Interdisciplinaria de Biotecnología Limite de CDMX y Edo. Mex. México - Pachuca Fondo: 180 mts Frente: 35 mts Terreno forma REGULAR PRECIO M2: $9,478.00 PRECIO TOTAL : $Ver datos","https://www.inmuebles24.com/propiedades/terreno-av-acueducto-ticoman-cdmx-sup.-3-165-m-55907523.html","Venta"
"15",15,60947346,"Pernambuco,  Lindavista, Gustavo A. Madero","Oficina",19000000,"MN",306,648,NA,4,19.4896734,-99.1272521,"Lindavista","Gustavo A. Madero","Ciudad de México","Ver datos, Lindavista, Edificio en Venta, entre Av. Montevideo y Buenavista, desarrollado en 3 niveles, cuenta con 5 oficinas en cada nivel, 4 baños completos y 5 medios baños, circuito cerrado, puerta electrica, muebles, sistema Alexa en la oficina principal.","https://www.inmuebles24.com/propiedades/cev10108-lindavista-edificio-en-venta-60947346.html","Venta"
"16",16,65769810,"Av. Acueducto,  Residencial Zacatenco, Gustavo A. Madero","Departamento",3389825,"MN",74,74,3,2,19.5016187,-99.1212316,"Residencial Zacatenco","Gustavo A. Madero","Ciudad de México","Ubicado sobre Av. Acueducto, enfrente a la Universidad Valle Dorado, el condominio se encuentra ubicado sobre el Centro Comercial Vista Norte  donde puedes encontrar todo lo indispensable para tu día a día como: supermercado, cine, variedad de tiendas de moda, gimnasio y diversos restaurantes.El departamento fue pensado para brindarte exclusivos y amplios espacio que te permitirán disfrutar del confort y la comodidad que te mereces. Cuenta con acabados de calidad, amplias ventanas para dar buena iluminación natural, barra de granito en cocina. En las áreas comunes puedes disfrutar de gimnasio interior y exterior, asadores, salón de usos múltiples, jardín de eventos, salón de jóvenes, áreas verdes, área para mascota, mesa de ping pong, ludoteca, cancha de fútbol, alberca climatizada con área de camastros,  juegos infantiles.Te invito a que conozcas el departamento mediante una cita y podamos conversar sobre la flexibilidad de pago. EasyBroker ID: EB-MD5834","https://www.inmuebles24.com/propiedades/venta-departamento-en-lindavista-gustavo-a.-madero-65769810.html","Venta"
"17",17,65828936,"Boyacá 532,  Valle del Tepeyac, Gustavo A. Madero","Casa en condominio",7800000,"MN",125,220,NA,2,19.487329,-99.1431614,"Valle del Tepeyac","Gustavo A. Madero","Ciudad de México","Preciosa Casa remodelada y en calle cerrada con portón eléctrico y excelente ubicación. La casa se encuentra a mitad de calle cerrada por portón eléctrico y cuenta con la siguiente distribución: PB: Estacionamiento para 2 autos techados más 2 estacionamientos en la parte exterior de la casa; amplia estancia para sala y comedor, pequeña área de bar, medio baño para visitas, cocina integral con isla central con estufa. Primer Piso: 3 recámaras, la principal con baño completo y vestidor, recámaras secundarias con closet, baño completo con doble lavabo, amplia área de televisión y área de estudio. Segundo Piso: Roofgarden con asador, área de bar con baño, cuarto de servicio y gimnasio. La casa se encuentra en calle cerrada y con portón eléctrico con fácil acceso a: CENTROS COMERCIALES Parque Lindavista. Plaza Lindavista. Plaza Torres Lindavista. Parque vía Vallejo. ESCUELAS Colegio Ovalle Monday Colegio Francés Hidalgo. Colegio Tepeyac. Colegio las Rosas. Secundarias y Primarias Públicas. HOSPITALES Hospital Ángeles de Lindavista. Hospital Juárez. Hospital de la Raza. Hospital Primero de Octubre. Clínica Guadalupe.","https://www.inmuebles24.com/propiedades/casa-100-remodelada-con-roofgarden-gym-y-area-de-bar-65828936.html","Venta"
"18",18,64587364,"Av. Congreso de la Union,  Ampliación San Juan de Aragón, Gustavo A. Madero","Edificio",250000000,"MN",2462,7860,NA,NA,19.4778689336,-99.1067995862,"Ampliación San Juan de Aragón","Gustavo A. Madero","Ciudad de México","Venta de Hospital en Obra negra.Construcción inconclusa, con anteproyecto, desarrollo de proyecto y obra parcialmente desarrollada. Excelente ubicación, alrededor encontrará: bancos, restaurantes, hoteles, centros comerciales, escuelas, iglesias, parques, jardines, fácil acceso a vías de comunicación, diversidad de transportes públicos, a unas cuadras de la estación del Metro Talismán en una de las mejores zonas comerciales de la Alcaldía Gustavo A. Madero y Basílica de Guadalupe, Ciudad de México. Construcción ideal para Hospital y Clínica. Características: Predio con una superficie de terreno de 2462m2, superficie construida 7860m2, Niveles sobre banqueta: 6 niveles y dos sótanos construidos Sótano 2: oficinas administrativas; almacén y farmacia; lavandería y ropería; mantenimiento; intendencia; estacionamiento; sistemas. Sótano 1: Oficinas administrativas; almacén y farmacia; baños, vestidores mujeres y hombres; estacionamiento; laboratorios. EasyBroker ID: EB-GY4584","https://www.inmuebles24.com/propiedades/hospital-comercial-en-venta-64587364.html","Venta"
"19",19,65938864,"Patria 333, La Laguna Ticoman, Gustavo A. Madero, 07340 Ciudad de México, CDMX,  La Laguna TicomAn, Gustavo A. Madero","Terreno / Lote",2900595,"MN",486,676,2,2,19.5116542,-99.1303962,"La Laguna TicomAn","Gustavo A. Madero","Ciudad de México","INMOBILIARIA BUSINESS WORLD PONE EN VENTA INVERSIÓN INICIAL $903,600 EXCELENTE OPORTUNIDAD PARA INVERTIR POR UN FUTURO Pasos a seguir de una Adquisición: 1-PAGO DE CONTADO (ningún tipo de crédito) 2- NO SE PUEDE VER POR DENTRO EL DENTRO YA QUE EL DEUDOR PUEDE HABITAR LA PROPIEDAD (Nosotros llevamos el desalojo y revisión de la propiedad ) 3-ENTREGA DE 6 A 8 MESES Esto con un contrato , se entrega Escriturada y Libre de Adeudos *Garantizamos tu inversión, nos apegamos a todas las leyes y estatus Fiscales, Civiles y Mercantiles a través de un contrato físico *Asesoría 24/7 desde tu primer llamada *TODO ES ANTE UN CONTRATO * *****AGENDE SU CITA EN NUESTRAS OFICINAS EN POLANCO**** Asesor VICTORIA VEGA","https://www.inmuebles24.com/propiedades/rematealmacen-ticomang.-a.-m-65938864.html","Venta"
"20",20,64877444,"Insurgentes Norte 1748,  Tepeyac Insurgentes, Gustavo A. Madero","Departamento",3390000,"MN",NA,52,2,1,19.4881979,-99.1220193,"Tepeyac Insurgentes","Gustavo A. Madero","Ciudad de México","Departamento en desarrollo nuevo 52 m2 de construcción Dos recámaras 1 baño completo Sala - comedor Cocina equipada abierta 1 lugar de estacionamiento","https://www.inmuebles24.com/propiedades/vendo-departamento-en-insurgentes-norte-excelente-64877444.html","Venta"
"21",21,64381432,"Moyobamba,  Residencial Zacatenco, Gustavo A. Madero","Departamento",4056000,"MN",96,96,3,2,19.5018805,-99.1256193,"Residencial Zacatenco","Gustavo A. Madero","Ciudad de México","Departamento 102
Distribución:
-Excelente iluminación y modernos acabados.
-Piso cerámico estilo madera.
-Balcón.
- Sala Comedor.
- Cocina integral con barra desayunador
- 3 recámaras con. La principal con vestidor y las otras con closet c/u.
- 2 baños completos. Uno de ellos en la recámara principal.
- Área de lavado.
-$ 2,500.00 pesos de mantenimiento mensual.
Características:
-Departamento exterior.
- Terreno: 96 m2
- Construcción: 96m2
- Ubicado en 1 piso.
- A estrenar.
- 1 cajón de estacionamiento asignado.
Equipamiento:
- Gas estacionario.
- Bodega en sótano.
Amenidades
-Elevador.
- Roof Garden común
- Vigilancia privada 24/7.
- Servicios de la zona: SACMEX (Agua), CFE, Drenaje, Servicios Municipales, Transporte Publico y Vialidades como Eje 6  norte Ticoman.
- Cercano al inmueble: A 5 minutos de Av. Insurgentes Norte. A 10 minutos de Chedraui Vista Norte (Cienfuegos). A una cuadra de Calzada Ticoman Eje 6 Norte. - A 5 minutos de IPN, a 10 minutos de la Universidad Insurgentes Plantel Norte, Escuelas, Bancos cercanos, Centros comerciales como Parque Lindavista y Plaza Lindavista. Hospitales Ángeles Lindavista y Juárez
Formas de pago:
- De contado; y
- Aceptamos créditos.","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-colonia-residencial-64381432.html","Venta"
"22",22,65174213,NA,"Departamento",2300000,"MN",60,60,2,2,NA,NA,"Guadalupe Tepeyac","Gustavo A. Madero","Ciudad de México","Departamento en 3er piso, cuenta con 2 recámaras con clóset, 2 baños completos, sala-comedor, espacio para cocina, el área de lavado y tendido se encuentran integradas al departamento, 1 lugar de estacionamiento, el edificio también cuenta con amenidades como gimnasio, ludoteca, salón de usos múltiples, elevador y Vigilancia las 24 hrs. Excelente opción, cuenta con vías de comunicación inmejorables así como cercanía a parques, mercados, escuelas, tiendas de autoservicio, acceso a medios de transporte diversos y avenidas principales.","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-colonia-guadalupe-tepeyac-65174213.html","Venta"
"23",23,55907523,"AVENIDA ACUEDUCTO 1391,  Ticoman, Gustavo A. Madero","Terreno / Lote",30000000,"MN",3165,782,NA,NA,19.5194165,-99.1322165,"Ticoman","Gustavo A. Madero","Ciudad de México","TERRENO AV. ACUEDUCTO, TICOMAN CDMX SUP. 3,165 MTS TERRENO SOBRE AVENIDA ACUEDUCTO COLONIA TICOMAN ALCALDÍA GUSTAVO A. MADERO, CUENTA CON DOS ENTRADAS, SE VENDE A PRECIO DE TERRENO, CUENTA CON UNA CASA GRANDE CONSTRUIDA Y BODEGA PEQUEÑA. USO DE SUELO HM/6/,INDUSTRIAL Y COMERCIO ESTA PROPIEDAD CUENTA CON GRANDES VENTAJAS DE INVERSIÓN YA QUE CUENTA CON EL USO DE SUELO VIVIENDA PLURIFAMILIAR PERMITIENDO 35 VIVIENDAS, ASÍ COMO INDUSTRIAL Y DE COMERCIO. USO DE SUELO HM/6/30Z. CERCA: A UN LADO DE PRIMARIA VICTORIO ROJAS Y PANTEÓN SANTA MARÍA TICOMAN IPN Unidad Profesional Interdisciplinaria de Biotecnología Limite de CDMX y Edo. Mex. México - Pachuca Fondo: 180 mts Frente: 35 mts Terreno forma REGULAR PRECIO M2: $9,478.00 PRECIO TOTAL : $Ver datos","https://www.inmuebles24.com/propiedades/terreno-av-acueducto-ticoman-cdmx-sup.-3-165-m-55907523.html","Venta"
"24",24,65660054,"norte 45,  Vallejo, Gustavo A. Madero","Nave industrial",70000000,"MN",NA,5148,NA,NA,19.5034309012071,-99.156464339148,"Vallejo","Gustavo A. Madero","Ciudad de México","Bodega Industrial en Venta de 5,148m2 Cerca del metro Norte 45 y Metro Vallejo, así como de avenidas principales (Blvd. ferrocarriles, Av. Ceylan, Pte.116, Pte. 122) Cuenta con 8 metros de alto, área para carga y descarga. El precio se puede negociar*","https://www.inmuebles24.com/propiedades/venta-vallejo-bodega-industria!-65660054.html","Venta"
"25",25,65072987,"Camino Sur,  Campestre Aragón, Gustavo A. Madero","Departamento",1320000,"MN",48,48,1,1,19.4818356,-99.0792911,"Campestre Aragón","Gustavo A. Madero","Ciudad de México","Disfruta de vivir en un Bonito Departamento Remodelado en una excelente ubicación dentro de la Col. Campestre Aragón en la Alcaldía Gustavo A. Madero, en la CDMX, a solo 3 calles del Deportivo Hermanos Galeana!El departamento consta de las siguientes características:48.66 m2 de Construcción• 1 Recámara• 1 Baño Completo• Balcón• 1 cajón de estacionamiento en Batería• Ubicado en el Piso 2• Año de Construcción 2016 (6 años)• Gas Natural• CisternaPlus:Piso: Loseta cerámica en todo el departamentoCocina: Acabado en Melamina color rojo y loseta cerámica en murosBaños: Amplio baño con Loseta cerámica en piso, muros y regadera, cancel de cristal templado en regadera.Areas: Sala de TV y amplio balcón en la RecámaraPuede ver el tour 360 virtual para recorrer el departamento en este mismo anuncio ¡Disfrútelo!Precio de Venta: $1,320,000 mxn (Precio Fijo)Precio de Venta Infonavit con Gastos Notariales financiados: $1,465,000 mxn¡Remodelado!•Centro Comercial Cercanos: Coopel.•Parques Cercanos: Centro Recreativo.•Sumercados cercanos:  Bodega •Transporte Publico Cercano: Camión, Metro.¡Gánalo!Aprovecha esta oportunidad y contáctanos ahora para agendar una visita, todos los documentos están en regla listo para escriturar a tu nombre, se aceptan todos los créditos hipotecarios.Si aún no cuentas con un crédito hipotecario nosotros te podemos apoyar con uno de nuestros Brokers Certificados con todos los bancos quien conoce todas las soluciones hipotecarias del mercado para que te indique cual es la mejor opción para ti de acuerdo a tu perfil y plan financiero, la asesoría y gestión no tiene ningún costo, ¡es totalmente gratis!¡Contáctanos ahora!. EasyBroker ID: EB-LL8622","https://www.inmuebles24.com/propiedades/disfruta-de-vivir-en-un-bonito-y-moderno-depto-en-la-65072987.html","Venta"
"26",26,64383590,"Calzada de los Misterios esquina calle Romo Anguiano.,  Industrial, Gustavo A. Madero","Terreno / Lote",10700000,"MN",324,NA,NA,NA,19.4703513,-99.1241896,"Industrial","Gustavo A. Madero","Ciudad de México","La venta del Terreno incluye proyecto y licencias de construcción para hacer 10 TownHouse de dos niveles cada uno para un total de mil metros habitables privativos vendibles. El precio incluye, el proyecto arquitectónico, proyecto ejecutivo, proyecto estructural, proyecto de instalaciones, licencias, permisos de demolición y construcción completos. Tipo de obra: Obra Nueva Zonificación: Habitacional, 20% de área libre, 4 niveles, densidad A (1 Viv. c/33 m2 de terreno) Superficie Máxima de Construcción Permitida S.N.B. 1422.29 m2 Superficie del Predio: 323.75 m2 Superficie de desplante del proyecto : 259.00 m2 Área libre: 64.75 m2 La superficie de demolición: 620.00 m2 cubicación de excavación: 1744.84 m","https://www.inmuebles24.com/propiedades/excelente-terreno-a-la-venta-con-proyecto-y-licencias-64383590.html","Venta"
