"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","lien","mode"
"6681","CO0XP14V001KU","cantera","Casa en Venta",3300000,"$",265,169,3,2,19.2805018,-99.1812477,"Santa Ursula Xitla","Tlalpan","Distrito Federal","CO0XP14V001KU",NA,"Venta"
"6682","AD00814V002YW","CANTERA","Casa en Venta",3900000,"$",300,145,3,2.5,19.2806039,-99.1824051,"Santa Ursula Xitla","Tlalpan","Distrito Federal","AD00814V002YW",NA,"Venta"
"6683","ME0GL14V003XW","Cantera","Casa en Venta",3150000,"$",232,130,3,3.5,19.2805018,-99.1812477,"Santa Ursula Xitla","Tlalpan","Distrito Federal","ME0GL14V003XW",NA,"Venta"
"6684","DI0NP14V001AV","Aljibe","Casa en Venta",3450000,"$",211,119,3,2.5,19.27855674,-99.18078506,"Santa Ursula Xitla","Tlalpan","Distrito Federal","DI0NP14V001AV",NA,"Venta"
"6685","GR03I14V002YH","aljibe","Casa en Venta",3700000,"$",220,125,3,2.5,19.2782833,-99.1795727,"Santa Ursula Xitla","Tlalpan","Distrito Federal","GR03I14V002YH",NA,"Venta"
"6686","VE0NI14V001PH","Aljibe","Casa en Venta",3700000,"$",220,125,3,2.5,19.2782833,-99.1795727,"Santa Ursula Xitla","Tlalpan","Distrito Federal","VE0NI14V001PH",NA,"Venta"
"6687","LO0NM14V001J7","Avenida Santa Ursula","Casa en Venta",2490000,"$",146,100,3,2,19.2796279,-99.1787388,"Santa Ursula Xitla","Tlalpan","Distrito Federal","LO0NM14V001J7",NA,"Venta"
"6688","TR0JY14V001FS","Galeana","Casa en Venta",4200000,"$",240,180,3,2.5,19.27928886,-99.17700586,"Santa Ursula Xitla","Tlalpan","Distrito Federal","TR0JY14V001FS",NA,"Venta"
"6689","US00114V027D3","Cerrada del Convento","Casa en Venta",3200000,"$",180,180,3,4,19.276369,-99.1793863,"Santa Ursula Xitla","Tlalpan","Distrito Federal","US00114V027D3",NA,"Venta"
"6690","SO00B14V003KI","Hermenegildo Galeana","Casa en Venta",4e+06,"$",216,50,2,2.5,19.2807554,-99.1765196,"Santa Ursula Xitla","Tlalpan","Distrito Federal","SO00B14V003KI",NA,"Venta"
"6691","US00114V023UK","Privada Techichicastitla","Casa en Venta",3666760,"$",198,144,3,3,19.2795675,-99.1821299,"Santa Ursula Xitla","Tlalpan","Distrito Federal","US00114V023UK",NA,"Venta"
"6692","US00114V026CZ","TEXTITLAN","Casa en Venta",4e+06,"$",214,126,3,4.5,19.2810749,-99.179848,"Santa Ursula Xitla","Tlalpan","Distrito Federal","US00114V026CZ",NA,"Venta"
"6693","RC00D8V000NG","Cerrada del Convento","Departamento en Venta",750000,"$",59,NA,2,1,19.2757154,-99.1778904,"Santa Ursula Xitla","Tlalpan","Distrito Federal","RC00D8V000NG",NA,"Venta"
"6694","JU0NV8V00008","Camino a la Cantera","Departamento en Venta",960000,"$",60,NA,2,2,19.2805962,-99.1838437,"Santa Ursula Xitla","Tlalpan","Distrito Federal","JU0NV8V00008",NA,"Venta"
"6695","CE0OH8V001C7","Cam. Cantera","Departamento en Venta",1030000,"$",59.9,NA,2,1,19.2805018,-99.1812477,"Santa Ursula Xitla","Tlalpan","Distrito Federal","CE0OH8V001C7",NA,"Venta"
"6696","MA0028V00AU9","ALJIBE","Departamento en Venta",1650000,"$",81,NA,2,2,19.2782833,-99.1795727,"Santa Ursula Xitla","Tlalpan","Distrito Federal","MA0028V00AU9",NA,"Venta"
"6697","RE0KW8V001CR","INSURGENTES SUR","Departamento en Venta",1310000,"$",78,NA,3,2,19.27942202,-99.17180796,"La Joya","Tlalpan","Distrito Federal","RE0KW8V001CR",NA,"Venta"
"6698","MA00214V00BNF","INSURGENTES SUR","Casa en Venta",3200000,"$",100,184,3,2.5,19.27983723,-99.16911502,"Tlalcoligia","Tlalpan","Distrito Federal","MA00214V00BNF",NA,"Venta"
"6699","AN0Y48V000PI","Coras","Departamento en Venta",2200000,"$",146,NA,5,3.5,19.27786518,-99.17186169,"Tlalcoligia","Tlalpan","Distrito Federal","AN0Y48V000PI",NA,"Venta"
"6700","US0018V024RY","Insurgentes Sur","Departamento en Venta",1350000,"$",83,NA,3,1,19.2782296,-99.1701519,"La Joya","Tlalpan","Distrito Federal","US0018V024RY",NA,"Venta"
"6701","GU0Y84V0000W","Tlalcoligia - TLALPAN","Casa en Venta",4200000,"$",555,213,4,4,19.271717,-99.1756914,"Tlalcoligia","Tlalpan","Distrito Federal","GU0Y84V0000W",NA,"Venta"
"6702","CE0194V004HO","Pizones","Casa en Venta",2650000,"$",254,152.73,2,3,19.2724713,-99.1778712,"Santa Ursula Xitla","Tlalpan","Distrito Federal","CE0194V004HO",NA,"Venta"
