"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","detailedListings.i."
"11",65918267,"Misterios undefined,  Vallejo, Gustavo A. Madero","Edificio",12000000,"MN",294,956,NA,NA,19.4645529681,-99.12644339,"Vallejo","Gustavo A. Madero","Ciudad de México","Edificio en venta en Calzada de los Misterios5 Departamentos en buenas condiciones, de aproximadamente 70 m213 lugares de estacionamiento.Cuenta con Uso de Suelo Comercial y HabitacionalUna excelente ubicación ya que se encuentra sobra Calzada de los Misterios, casi esquina con Circuito Interior.Generales:Tipo Edificio Habitacional y ComercialOperación: VentaEdad: 40 añosDatos Técnicos:8 Baños294 m2 Área Terreno.956 m2 Construcción.","https://www.inmuebles24.com/propiedades/venta-edificio-5-deptos-ofnas-en-misterios-junto-a-65918267.html"
"12",65918208,"undefined,  San José de La Escalera, Gustavo A. Madero","Edificio",16500000,"MN",170,765,NA,NA,19.5268101,-99.1656811,"San José de La Escalera","Gustavo A. Madero","Ciudad de México","Edificio en esquina con mucho potencial para desarrollar departamentosActualmente diseñado con cuartos de estancia para estudiantes con paredes de tablaroca, 2 departamentos y  un pent-house.Adicionalmente un área de roof-gardeenÁrea para estudiantes:Cuenta con 4 bañosDoce habitaciones estudiantilesCocina Bodega1 estacionamientoSala de entretenimientoDepartamento 1 Sala comedor cocina2 RecamarasBañoEstudioDepartamento 2 1 RecamaraSala comedorCocinaPent-house 2 Recamaras1 Baño Sala ComedorCocinaRoof gardeen Espacio de almacenajeTarja","https://www.inmuebles24.com/propiedades/venta-edificio-ideal-desarrollar-departamentos-en-san-65918208.html"
"13",63778905,"Av. Misterios,  Industrial, Gustavo A. Madero","Departamento",3800000,"MN",288,288,3,3,19.4738668,-99.1229432,"Industrial","Gustavo A. Madero","Ciudad de México","Pent house recién remodelado de 300 m2  con espacios generosos que brinda una excelente iluminación natural y con una ubicación privilegiada sobre Avenida Misterios en una de las colinas más seguras de la zona; cuenta con espacios ideales para convivencias con amistades y familia. En su cercanía se encuentran escuelas, centros comerciales, restaurantes, transporte público como el Metrobús el cual se ubica a una cuadra de distancia además de contar con importantes vías de acceso a su alrededor. Es una excelente opción que tú y tu familia merecen para disfrutar sus amplios espacios y ubicación. -3 habitaciones -3 baños completos y 2 medios baños-Closets en cada una de las recámaras -Salón de juegos-Family room-Area social al aire libre-Estancia sala/comedor-Cocina integral-Cuarto de lavado-Cuarto de servicio-2 lugares de estacionamiento-Balcon-Recibidor-Elevador -Control de acceso-Circuito Cerrado-288 m2. EasyBroker ID: EB-JV6637","https://www.inmuebles24.com/propiedades/pent-house-en-venta-en-industrial-gustavo-a-madero-63778905.html"
"14",64926111,"Ambato,  Lindavista, Gustavo A. Madero","Departamento",3570000,"MN",120,120,2,2,NA,NA,"Lindavista","Gustavo A. Madero","Ciudad de México","Vive en una de las mejores zonas de Lindavista, en bonita calle cerrada con vigilancia, cerca de comercios, escuelas, transporte público, parques, etc.El condominio cuenta con vigilancia, elevador y solo 12 departamentos en total, 2 por piso.El departamento se encuentra en el segundo piso, es exterior y consta de: amplia estancia sala-comedor con un agradable balcón a todo lo largo de esta área social; cocina integral cerrada, con despensa; área de lavado y cuarto de servicio con baño, recámara principal con baño integrado y clóset tipo vestidor, recámara secundaria con clóset y otro baño completo para recámara secundaria y visitas. Cuenta con 1 lugar de estacionamiento, fijo techado e independiente, y una jaula de tendido en la azotea que funciona como  práctica bodega.Todo en muy buen estado de conservación y listo para actualizar a tu gusto.  ¡Aprovecha gran oportunidad y ven a conocerlo!. EasyBroker ID: EB-LG9589","https://www.inmuebles24.com/propiedades/excelente-oportunidad-amplio-departamento-en-64926111.html"
"15",64518705,"Euzkaro 43,  Industrial, Gustavo A. Madero","Departamento",3690000,"MN",82,82,2,2,19.479205,-99.1214694,"Industrial","Gustavo A. Madero","Ciudad de México","ATENCIÓN!! Precios de salida especiales!! Gran momento para que te conviertas en el dueño de uno de estos increíbles departamentos exclusivos, en una muy bonita zona de la colonia Industrial en CDMX. Contarán con dos recámaras, dos baños completos, sala/comedor, 1 o 2 lugares de estacionamiento, desde 1.58m2 hasta 11.90m2 de balcón y bodega. Acabados modernos con el mejor de los gustos. Entrega estimada en Primavera de 2024. No dejes de pedir tu cita para conocer este maravilloso proyecto, seguramente te enamorarás de él!!!","https://www.inmuebles24.com/propiedades/preventa-de-moderno-desarrollo-de-solo-20-increibles-64518705.html"
"16",65356366,"Excelsior  colonia Guadalupe Insurgentes,  Guadalupe Insurgentes, Gustavo A. Madero","Departamento",2207000,"MN",55,55,2,2,NA,NA,"Guadalupe Insurgentes","Gustavo A. Madero","Ciudad de México","¡¡ ESTRENA DEPA, CERCA DE TODO, DESDE $ 2,207,000 !! EN CDMX, CERCA DE LINDAVISTA ¡¡ SI, LO ESCUCHASTE BIEN!!! PIDE TU CITA 55 Ver datos PRECIOS, NO VISTOS ANTES EN CDMX ESTAMOS EN LA ALCALDÍA G. A MADERO, MUY CERQUITA DE LINDAVISTA, CDMX !!! A 2 CALLES DE INSURGENTES NORTE DESDE 55 MTS2 Y HASTA 71 MTS2 DESDE $ 2,207,000 HASTA $2, 920,810 (SÓLO TENEMOS UN DEPA DE $2,920,810) PIDE TU CITA 55 Ver datos DE 2 RECÁMARAS DE 2 BAÑOS ESTANCIA SALA- COMEDOR COCINA ÁREA DE LAVADO ¡¡ ALGUNOS CON TERRAZA O BALCÓN !! SE ENTREGAN CON TODOS LOS ACABADOS, ESTARÁN LISTOS PARA FINES 2023","https://www.inmuebles24.com/propiedades/-estrena-depa-cerca-de-lindavista-desde-$2-207-000!-65356366.html"
"17",64895701,"Lote 16 Virginia Fábregas, Manzana 194. Colonia Jorge Negrete. Gustavo A Madero. 07280 CDMX,  Jorge Negrete, Gustavo A. Madero","Terreno / Lote",9000000,"MN",882,60,3,NA,19.5248711,-99.1445048,"Jorge Negrete","Gustavo A. Madero","Ciudad de México","VENDO EXCELENTE TERRENO en esquina con gran frente ubicado en la calle Virginia Fábregas, (una de las dos calles principales) en la Colonia Jorge Negrete en la Alcaldía Gustavo A. Madero. USO DE SUELO: Comercial, Residencial e Industrial, HC 3 20 M Ideal para desarrollar locales comerciales y departamentos. Calle donde hay muchos comercios. DOCUMENTOS YA EN NOTARIA, EN PERFECTO ORDEN. LISTO PARA LA VENTA Informes: MARU AGUIRRE 55 Ver datos","https://www.inmuebles24.com/propiedades/excelente-terreno-en-venta-de-882-m-en-esquina.-64895701.html"
"18",65699968,"AV. MIGUEL BERNARD 555,  Lindavista, Gustavo A. Madero","Terreno / Lote",35000000,"MN",1181,40,3,1,19.512274103131,-99.1411716381287,"Lindavista","Gustavo A. Madero","Ciudad de México","VENTA O RENTA Amplio TERENO con OFICINA en Lindavista GAM Ideal para fines comerciales Descripción: Amplio terreno (1,181 mts2) pavimentado con concreto de alta densidad, cercado con bardas de concreto y cortinas de tamaño industrial en la entrada. Cuenta con 2 bodegas techadas con colado (12mts2 aprox. cada una) y una amplia oficina con baño y estancia espaciosa. ¡¡Precio de venta negociable!! Precio de Renta MXN 170,000 Mensual ¡¡¡Con factura!!! INFORMES: 55 Ver datos 55 Ver datos","https://www.inmuebles24.com/propiedades/venta-o-renta-tereno-con-oficina-lindavista-gam-65699968.html"
"19",65769504,"Oriente 153 3213,  Constitución de La República, Gustavo A. Madero","Departamento",2598000,"MN",80,75,3,2,19.4867025,-99.101998,"Constitución de La República","Gustavo A. Madero","Ciudad de México","Ideal para familia de 4 personas Cuenta con las siguientes características: * 75 m2 habitables de departamento * Primer piso con elevador * Muy ventilado * Muy privado * Fraccionamiento con vigilancia las 24 horas * Salón de usos múltiples con jardín * Bodega Con la siguiente distribución: * 3 amplias recámaras * Sala. * Comedor. * Cocina integral. * 2 Baños completos * Área de lavado * 2 Estacionamientos independientes Que no te lo ganen ¡Hazlo tuyo! !Llama o mandar Whatsapp ya! Se acepta todo tipo de pago, ya sea créditos bancarios, infonaviT o contado Tramitamos tu crédito, aprovecha la oportunidad de vivir en una zona con alta plusvalía.","https://www.inmuebles24.com/propiedades/hermoso-y-amplio-depto-residencial-balcones-tepeyac-65769504.html"
"20",65660054,"norte 45,  Vallejo, Gustavo A. Madero","Nave industrial",70000000,"MN",NA,5148,NA,NA,19.5034309012071,-99.156464339148,"Vallejo","Gustavo A. Madero","Ciudad de México","Bodega Industrial en Venta de 5,148m2 Cerca del metro Norte 45 y Metro Vallejo, así como de avenidas principales (Blvd. ferrocarriles, Av. Ceylan, Pte.116, Pte. 122) Cuenta con 8 metros de alto, área para carga y descarga. El precio se puede negociar*","https://www.inmuebles24.com/propiedades/venta-vallejo-bodega-industria!-65660054.html"
"21",65979343,"Coquimbo 922,  Lindavista Norte, Gustavo A. Madero","Departamento",4190000,"MN",151,151,3,2,19.4942207,-99.1227446,"Lindavista Norte","Gustavo A. Madero","Ciudad de México","Gran departamento multifuncional de 151 m2 en primer piso, vista al exterior, muy iluminado, en excelentes condiciones, acabados y funcionamiento del mismo. Cuenta con 3 recámaras amplias y muy iluminadas, todas con clóset, la principal, con baño completo y tina; el otro baño es completo y da servicio a las otras 2 recámaras y para visitas. Tiene un family room muy agradable, incluso pudiera convertirse fácilmente en 4ta recámara. La cocina es muy grande, cuenta con una barra que funciona como desayunador, tiene muchos compartimentos para cristalería y artículos de limpieza. La estancia es muy amplia y dividida por unas puertas de madera con cristal para crear privacidad dentro de la misma. PLUS. Cuenta con un cuarto completo (con baño y regadera) adaptado y recién remodelado para utilizarse como OFICINA y bodega. Tiene 2 cajones de estacionamientos amplios y cuenta con jaula de tendido. Está ubicado muy cerca de avenidas principales; cuenta con hospitales muy cercanos, escuelas, tiendas de autoservicios, centros comerciales, gimnasios, parques, iglesias, restaurantes. Compradores únicamente con recursos propios y pago de contado.","https://www.inmuebles24.com/propiedades/depto-en-venta-lindavista-tipo-exterior-65979343.html"
"22",65972430,"Faro,  La Patera Vallejo, Gustavo A. Madero","Departamento",1790000,"MN",70,70,3,1,19.5065741803104,-99.1560253550171,"La Patera Vallejo","Gustavo A. Madero","Ciudad de México","Departamento, súper bonito, con buena iluminación, ubicado en 2º piso, es exterior. Unidad Habitacional La Patera Vallejo. Pregunta por nuestras promociones y descuentos: ¿Cocina equipada? ¿Descuento en gastos de escrituración? No esperes más: Encuentra tu Nuevo Hogar ¡ya! - Edificio tranquilo, de solo 18 departamentos. (no hay elevador) - Son 70.5 m2 aprox, con excelente distribución, todas las áreas con buena iluminación y ventilación natural. - ️️ 3 recámaras, con ""closet abierto"". - 1 baño completo. - ️ Sala y comedor - Cocina integral con estufa (refrigerador y horno de microondas opcionales). - Área de lavado (anexa a cocina) con ventilación natural y con conexiones para lavadora y o secadora. - Un lugar de estacionamiento fijo e independiente. Mascotas bienvenidas. Instalaciones con ECOtecnias, para el ahorro de agua, luz y gas. - El depa muy bien ubicado. Zona tranquila. La unidad esta ubicada frente al metrobús (estación La Patera). A unos minutos de la plaza comercial Vía Vallejo y Plaza Lindavista. Con un Oxxo a media cuadra. - Vías cercanas como Vallejo, 100 metros y Montevideo. Se pagan solo $120 de mantenimiento al mes (limpieza del edificio) Precio de venta: $1,790,000. Se acepta compra con crédito hipotecario. Disponible a partir del 22 de enero. Más información al Ver datos por whats app","https://www.inmuebles24.com/propiedades/bonito-depa-3r-1b-1e-en-piso-2-65972430.html"
"23",65433490,"AREQUIPA,  Lindavista, Gustavo A. Madero","Departamento",8790000,"MN",270,417,3,4,NA,NA,"Lindavista","Gustavo A. Madero","Ciudad de México","Súper oportunidad de adquirir el PH de tus sueños en el corazón de la colonia Lindavista, dividido en tres niveles tendrás todo para disfrutar día a día. En el piso 4 del edificio encontrarás la entrada de este magnífico lugar. PB consta de cocina, sala, estancia, dos baños, dos recámaras (una con baño completo), elevador interno y terraza. NIVEL 1 consta de la recámara principal que es muy amplia, con enorme vestidor, increíble baño con tina de hidromasaje y terraza muy amplia que puede tener diversos usos. NIVEL 3 consta de un súper bar totalmente equipado con luces y para adaptar el equipo de sonido, la otra mitad del rooftop cuenta con área al aire libre con asador y zona de descanso, baño completo y una pequeña oficina o bodega. En azotea cuenta con cuarto de servicio con baño completo. Este súper PH cuenta con exclusivo lugar para 4 carros o 3 camionetas y una pequeña bodega en este espacio. NO TE PIERDAS LA OPORTUNIDAD DE CONOCER Y ADQUIRIR ESTE INCREIBLE PH EN LA MEJOR ZONA DE LINDAVISTA, AGENDA TU CITA AHORA MISMO.","https://www.inmuebles24.com/propiedades/lindavista-increible-ph-de-tres-niveles-65433490.html"
"24",65769810,"Av. Acueducto,  Residencial Zacatenco, Gustavo A. Madero","Departamento",3389825,"MN",74,74,3,2,19.5016187,-99.1212316,"Residencial Zacatenco","Gustavo A. Madero","Ciudad de México","Ubicado sobre Av. Acueducto, enfrente a la Universidad Valle Dorado, el condominio se encuentra ubicado sobre el Centro Comercial Vista Norte  donde puedes encontrar todo lo indispensable para tu día a día como: supermercado, cine, variedad de tiendas de moda, gimnasio y diversos restaurantes.El departamento fue pensado para brindarte exclusivos y amplios espacio que te permitirán disfrutar del confort y la comodidad que te mereces. Cuenta con acabados de calidad, amplias ventanas para dar buena iluminación natural, barra de granito en cocina. En las áreas comunes puedes disfrutar de gimnasio interior y exterior, asadores, salón de usos múltiples, jardín de eventos, salón de jóvenes, áreas verdes, área para mascota, mesa de ping pong, ludoteca, cancha de fútbol, alberca climatizada con área de camastros,  juegos infantiles.Te invito a que conozcas el departamento mediante una cita y podamos conversar sobre la flexibilidad de pago. EasyBroker ID: EB-MD5834","https://www.inmuebles24.com/propiedades/venta-departamento-en-lindavista-gustavo-a.-madero-65769810.html"
